Aerobics, lätt;150
Aerobics, medel;210
Aerobics, tuff;270
Badminton, lätt;150
Badminton, medel;210
Badminton, tuff;270
Basket;210
Beachvolleyboll;240
BodyBalance;150
BodyPump;255
Bordtennis, lätt;105
Bordtennis, medel;150
Bordtennis, tuff;195
Bowling;105
Boxercise, lätt;195
Boxercise, medel;255
Boxercise, tuff;300
Brottning;240
Cirkelträning, lätt;195
Cirkelträning, medel;255
Cirkelträning, tuff;315
Coreträning;165
Crosstrainer, lätt;165
Crosstrainer, medel;225
Crosstrainer, tuff;315
Cykling, lätt;120
Cykling, medel;195
Cykling, tuff;330
Dans, lätt;105
Dans, medel;195
Dans, tuff;270
Fotboll;240
Golf;135
Gympa, lätt;150
Gympa, medel;210
Gympa, tuff;270
Gå uppför trappor, intensivt;315
Handboll;240
Hoppa rep, lätt;180
Hoppa rep, medel;255
Hoppa rep, tuff;330
Hoppa studsmatta, lätt;120
Hoppa studsmatta, medel;210
Hoppa studsmatta, tuff;315
Inlines, lätt;150
Inlines, medel;240
